longitude,latitude,note a,note b,make,model,type,integrated,date integrated,note c,disposition,status,statusChangeTimestamp,directions
-84.34538,33.6948448,8efb489d-66be-4f48-a2ba-7730b301553c,APDHS covert - 166.239.90.102,Sony,SNC-EP520,PTZ,,,,External,Down,2023-08-28T19:31:28.219487-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.69484478421571,-84.34537959218942"
-84.384981,33.7599813,8f1b16bb-6a09-45a8-a510-1ff1de7c5c7e,APD skywatch tower at 60 Andrew Young | Quad 3 (Not Always On),Axis,Q6010-E,Fixed,,,,External,Down,2023-08-24T11:59:26.299971-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.75998127700149,-84.38498053729553"
-84.359555,33.7088965,9320556f-dc1f-4da4-bbab-3f0e4ab0b9ae,New Town Circ SE and McDonough Blvd SE | Quad-4,Axis,Q6010-E,PTZ,,,,External,Down,2023-08-28T18:51:32.782570-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.70889651600073,-84.35955485686661"
-84.394905,33.7600762,97246ae5-1cd2-4e16-baed-8d5efd178d09,Marietta St and Park Ave | Quad 4,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-16T13:08:10.066629-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.76007622622319,-84.394904889531"
-84.481982,33.7549466,9939ea1d-42aa-4e7d-8fd1-af19f3e6dade,Delmar Ln NW and Linkwood Rd NW | PTZ,Axis,Q6075-E,PTZ,,,,External,Down,2023-07-19T09:46:17.444064-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.75494662678937,-84.48198164169884"
-84.390026,33.8390645,99b9b870-ca65-4ca5-a4da-f680a30b5231,Andrews Dr and Austell Way | QUAD-3,Axis,AXIS Q6000-E Mk II,Fixed,,,,External,Down,2023-08-29T19:44:36.230538-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.839064534194556,-84.39002572822437"
-84.411235,33.7327271,9a1b3dc0-c946-474e-a3af-2e9299468c99,802 Lowndes St SW | Quad-1,Axis,Q6010-E,Fixed,,,,External,Down,2023-08-28T18:44:49.866319-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.732727115739834,-84.41123467567196"
-84.396011,33.7613365,9acbadae-be3e-43ac-a583-de83f3a83a8d,Marietta St NW and Baker St NW | Quad 1,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-16T13:08:11.879269-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.761336494223876,-84.3960112291419"
-84.417583,33.752209,9af426af-5fda-420c-8655-0307de29de4e,Joseph E Lowery Blvd and Beckwith St SW | PTZ,Axis,Q6055-E,PTZ,,,,External,Down,2023-08-03T11:13:39.629176-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.75220903356156,-84.41758318010282"
-84.395324,33.7478358,9c78666f-073c-4cc0-a226-b3b913a9f635,Not deployed - 166.150.119.126,Sony,SNC-EP520,PTZ,,,,External,Down,2023-01-18T15:17:45.683041-05:00,"https://www.google.com/maps/dir/?api=1&destination=33.74783583279509,-84.39532366515121"
-84.329912,33.698923,9c7e0542-4fe5-4801-bc51-e1420365c91b,1500 Key Rd - SWAT Trailer Back | PTZ,Axis,Q6074-E,PTZ,,,,External,Down,2023-08-06T14:56:02.381896-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.698922945298435,-84.32991159412336"
-84.390034,33.8390536,9e5dce22-1b20-45f9-925e-c0c6b2d810eb,Andrews Dr and Austell Way | PTZ,Axis,Q6045-E Mk II,PTZ,,,,External,Down,2023-08-29T19:44:35.317758-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.83905364197916,-84.3900340293123"
-84.384978,33.7600972,a01c261a-5182-46af-a001-555d5d8396d3,APD skywatch tower at 60 Andrew Young | PTZ (Not Always On),Axis,Q6055-E,PTZ,,,,External,Down,2023-08-24T12:03:46.071416-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.76009723253741,-84.38497785508652"
-84.359551,33.7089149,a105bd9c-e9f2-4a82-a3c4-c52b2d1731a8,New Town Circ SE and McDonough Blvd SE | Quad-3,Axis,Q6010-E,PTZ,,,,External,Down,2023-08-28T18:51:31.970640-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.70891492375961,-84.35955083355309"
-84.446224,33.8245522,a2a1683a-759b-48fc-b9ea-19d3168284c5,Moores Mill Rd and Ridgemore Rd NW | PTZ,Axis,AXIS Q6055-E,PTZ,,,,External,Down,2023-08-31T07:36:03.099753-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.82455215258461,-84.44622444299164"
-84.387847,33.8362921,a589ab43-c6ba-46e9-8d46-094f51f258b4,Andrews Dr NW and Slaton Dr NW | QUAD-1,Axis,Q6000-E,PTZ,,,,External,Down,2023-08-28T02:56:49.805654-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.83629207995296,-84.3878470202551"
-84.403986,33.7435266,a6c7bb9f-6581-4168-a389-5f4705f12290,McDaniel St & Whitehall St | PTZ,Axis,Q6075-E,PTZ,,,,External,Down,2023-08-28T02:22:20.511762-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.74352662486725,-84.40398580230249"
-84.386292,33.7367921,a7653ddf-95b2-4122-97b0-b3631722e57a,Fraser St SE and Georgia Ave SE | Quad-1,Axis,Q-6010-E,PTZ,,,,External,Down,2023-08-28T02:28:48.337550-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.73679205363112,-84.3862918082141"
-84.411853,33.768268,a96e5343-856c-426d-a921-f2c80e69b0c8,ATL Promise Center at CMA Blvd NW and Griffin | QUAD-4,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-31T07:38:52.542252-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.76826803751976,-84.41185287802166"
-84.359796,33.7073343,aab72435-4c59-4c28-8779-23e6c4e4af5d,990 New Town Cir SE | PTZ,Axis,Q6075-E,PTZ,,,,External,Down,2023-06-30T14:41:55.152754-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.707334312648,-84.35979566441804"
-84.396015,33.7613107,ac417928-265d-43bc-a08c-f63de62a8a09,Marietta St NW and Baker St NW | Quad 2,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-16T13:08:16.592425-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.761310683463186,-84.39601485071343"
-84.394585,33.7418956,ace67810-75f4-4e9a-bc3d-6bfb77fb71b3,Fulton St SW and Pryor St SW | QUAD-2,Axis,Q6010-E,Fixed,,,,External,Down,2023-08-28T02:21:15.714840-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.74189560752119,-84.39458486321202"
-84.399961,33.8168401,ae96ff32-8c56-4994-916b-d5d8bbf809fe,Woodward Way NW and Havenridge Dr NW | Quad-3,Axis,Q6010-E,PTZ,,,,External,Down,2023-08-28T02:27:02.131224-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.81684010178893,-84.39996083468178"
-84.367056,33.8257333,b23c3ca4-ea7e-4347-9eb6-d7b79d5196cf,Piedmont Rd NE and Sidney Marcus Blvd NE | Quad-4,Axis,Q6000-E,Fixed,,,,External,Down,2023-08-11T20:02:39.457016-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.82573325152888,-84.36705616097899"
-84.362819,33.7081357,b4c8d02f-6acc-49c8-b6a1-7ee6077d21a0,600 New Town Circle SE | Quad 1,Axis,Q6075-E,Fixed,,,,External,Down,2023-08-07T17:52:42.274768-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.708135648359196,-84.36281933563406"
-84.351528,33.7178061,b50e03c9-fa38-4ded-b780-af6000d475a9,Walking Trail (3),Avigilon,15C-H4A-3MH-180,Fixed,,,,External,Down,2023-08-28T09:41:57.171595-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.71780612699277,-84.3515277474991"
-84.395169,33.7480377,b8c961e3-dfa6-4d84-b0ff-7e9c0e62b54c,Not deployed - 166.239.90.109,Sony,SNC-EP520,PTZ,,,,External,Down,2023-01-18T15:20:43.697941-05:00,"https://www.google.com/maps/dir/?api=1&destination=33.748037668515025,-84.39516943813285"
-84.417597,33.7522166,b962fe7d-dac2-48d0-abc1-b04141bf0589,Joseph E Lowery Blvd and Beckwith St SW | QUAD-3,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-02T10:47:25.922069-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.75221660811841,-84.41759669080736"
